name,repo_url,paper_doi,category,license,stars_at_triage,version_at_triage,triage_date,reason_parked,revisit_when,notes
OHDSI/MIMIC,https://github.com/OHDSI/MIMIC,,software,Apache-2.0,90,1.0.0,2026-05-15,Tested against MIMIC-IV v2.2 while current release is v3.1 — meaningful version gap. Very niche (single dataset → single format ETL).,Updated to support MIMIC-IV v3.x and 150+ stars,OHDSI-maintained ETL pipeline converting MIMIC-IV to OMOP CDM format. Enables use of MIMIC data with OHDSI/Atlas toolchain. Apache-2.0. Good governance but too niche and version-lagged for a standalone entry now. Add as relatedLink to MIMIC-IV entry when upgrading to v3.x support.
Glucose360,https://github.com/vurhd2/Glucose360,https://doi.org/10.1177/15209156251374711,software,GPL-2.0,6,0.0.2,2026-05-14,Pre-stable (v0.0.2) with 6 stars and no GitHub releases — high abandonment risk despite 2026 peer review in Diabetes Technology & Therapeutics.,v0.1+ release and 50+ stars,Only CGM analysis library with full event-based integration (meals/exercise); 100% event-based metric coverage vs 0–9% in iglu/AGATA/cgmanalysis. Stanford Snyder Lab. GPL-2.0 limits commercial embedding.
Trio,https://github.com/nightscout/Trio,,software,MIT,314,0.7.0,2026-05-14,Newer iOS AID system with less published clinical outcomes data than Loop. 314 stars vs Loop's 1.7k despite 1.6k forks.,Published clinical outcomes study and 500+ stars,iOS AID system based on OpenAPS oref algorithm; evolved from FreeAPS X / iAPS. Actively developed under Nightscout org (v0.7.0 April 2026). MIT license. Significant community fork activity. Monitor as the iOS alternative to Loop for users wanting oref algorithm.
LoopKit,https://github.com/LoopKit/LoopKit,,software,MIT,409,3.0,2026-05-15,Developer SDK/framework layer rather than end-user app. Last formal release v3.0 December 2019 though actively used as a dependency.,Stable versioned releases and direct clinical relevance beyond being a Loop/Trio dependency,iOS framework providing data models and HealthKit/CoreData integration for building closed-loop AID apps. Underlying SDK for Loop and Trio. 409 stars. Not user-facing — evaluate when it warrants its own catalog presence independent of the apps built on it.
CLAM,https://github.com/mahmoodlab/CLAM,,software,GPL-3.0,1700,,2026-05-15,No versioned releases published despite 1.7k stars and Nature Biomed Eng paper. Mahmood Lab shifting focus to TRIDENT for preprocessing.,First versioned release published,De facto MIL framework for WSI classification (weakly supervised). GPL-3.0. Nature Biomedical Engineering paper. Widely used but Mahmood Lab now directing users to TRIDENT for upstream processing. Monitor for a stable release.
HEST,https://github.com/mahmoodlab/hest,,datasets-benchmarks,CC-BY-NC-SA-4.0,399,1.2.0,2026-05-15,CC-BY-NC-SA non-commercial license and primarily Jupyter notebooks rather than a proper library. Last release November 2024.,License change to permissive OR repackaged as a proper Python library with stable API,Spatial transcriptomics + histopathology integration dataset and benchmark from Mahmood Lab. Interesting emerging modality pairing. 399 stars. Restricting NC license is the main blocker.
FLASH,https://github.com/mmottaqii/FLASH-foundation-model,https://doi.org/10.64898/2026.04.29.721775,ai-ml-models,MIT,0,,2026-05-15,0 stars and no releases — pre-community stage. Single-author individual project (CUNY).,50+ stars and a versioned release,Signed multi-omics knowledge graph foundation model for drug action and clinical response prediction. Light motif decomposition + sign-preserving spectral initialisation on heterogeneous biomedical KGs. MIT license. Interesting direction if it gains traction.
Phlox,https://github.com/bloodworks-io/phlox,,software,MIT,80,0.11.0,2026-05-15,Only 80 stars and self-described as experimental — explicitly not a certified medical device. Interesting local-first AI scribe niche but too early for catalog endorsement.,200+ stars and evidence of clinical deployment or regulatory pathway documentation,Local-first open-source AI medical scribe (JS/Python/Rust). Runs entirely offline — no external services. Features: transcription, clinical note generation, task extraction from plans, patient correspondence, local knowledge base chatbot. v0.11.0 March 2026 with 24 releases showing active development. MIT license. Monitor for community traction.
openFHIR,https://github.com/openFHIR/openfhir,,software,Apache-2.0,25,2.2.1,2026-05-15,25 stars and OSS version explicitly not intended for production — auth access controls and performance reserved for commercial Enterprise version.,200+ stars and production-ready OSS release,Bidirectional openEHR ↔ FHIR mapping engine based on FHIRConnect spec. Java. v2.2.1 May 2026. Originated from MedBlocks; credits to Karkinos Healthcare HiGHmed and Syntaric. Real problem space but commercial/OSS split is a material barrier.
openEHR2FHIRquestionnaire,https://github.com/cistec-com/openEHR2FHIRquestionnaire,,software,MIT,9,,2026-05-15,9 stars and no formal releases — very early stage niche tooling from a single vendor.,50+ stars and a versioned release,Python CLI + Gradio web UI for bidirectional conversion: openEHR web templates to FHIR Questionnaires (R4/R5) and FHIR QuestionnaireResponse back to openEHR FLAT compositions. MIT license. Cistec AG (Swiss). Active CI/CD. Useful niche if openEHR-FHIR interop tooling gains wider traction beyond single-vendor use.
