name,repo_url,website_url,license,category,stars_at_archival,last_commit_date,archived_date,reason_known,notes
HospitalRun,https://github.com/hospitalrun/hospitalrun-frontend,https://hospitalrun.io/,MIT,HIS / EMR (LMIC),6886,2023-01-09,2025-10-15,No public post-mortem,Volunteer burnout; v2 React rewrite was never completed despite 6.9k stars. Formal closure announced Oct 2025.
OpenClinica Community Edition,https://github.com/OpenClinica/OpenClinica,https://www.openclinica.com/,LGPL,EDC / Clinical Trials,492,2024-08-02,,Low activity,Community Edition v3.x receives only maintenance updates; all active development moved to commercial OpenClinica Enterprise. No formal archive.
credoai_lens,https://github.com/credo-ai/credoai_lens,,Apache-2.0,tooling-infrastructure / AI governance,49,,2026-05-16,Repo archived by Credo AI,AI model assessment framework for bias and fairness evaluation. Vendor archived — Credo AI moved to proprietary SaaS platform. Triaged as CHAI partner project but OSS commitment was dropped. Do not catalog.
CAMEL,https://github.com/starmpcc/CAMEL,https://starmpcc.github.io/CAMEL/,MIT,ai-ml-models,89,2026-05-18,Superseded by Asclepius,7B clinical LLM fine-tuned on MIMIC-III/IV (3.4B tokens) + 100k instruction pairs across 13 clinical tasks. Team explicitly recommends switching to their successor Asclepius. No releases and only 13 commits. Model weights require PhysioNet credentialized access. Do not catalog — check Asclepius instead.
Asclepius,https://github.com/starmpcc/Asclepius,,MIT,ai-ml-models,119,2026-05-18,Paper artifact — no active development,First shareable clinical LLM trained on synthetic notes (generated from public biomedical literature rather than real patient data). 7B and 13B variants plus Llama3/Mistral versions. Weights publicly on HuggingFace (no DUA). Only 11 commits no releases — repo is a paper accompaniment not a maintained project. Same lab as CAMEL (Edward Choi group). Do not catalog.
AI_Clinician,https://github.com/matthieukomorowski/AI_Clinician,,none,ai-ml-models,130,2026-05-18,No license + MATLAB codebase + dormant since 2019,Landmark Nature Medicine 2018 RL model for sepsis treatment optimisation (IV fluids + vasopressors) using MIMIC-III. Historically important paper but code is 80% MATLAB with no license (all rights reserved) and no releases. Dormant since 2019. Microsoft published a Python reimplementation of the cohort extraction only (github.com/microsoft/mimic_sepsis MIT) but that is a preprocessing script not the model. Do not catalog.
OpenEDC (legacy prototype),https://github.com/OpenEDC/OpenEDC-Docker,,MIT,EDC / Clinical Trials,17,2023-11-14,,Superseded by commercial product,Explicitly labelled as legacy prototype; current OpenEDC product is proprietary SaaS at openedc.health.

Ginkgo CADx,https://github.com/gerddie/ginkgocadx,,LGPL-3.0,DICOM Viewer,135,2021-11-22,2021-11-22,Maintainer posted explanation,Continuation fork of MetaEmotion original (also abandoned). Archived Nov 2021; VTK/wxWidgets porting complexity cited and diminished maintainer interest.
FreeMedForms,https://sourceforge.net/projects/freemedforms/,https://freemedforms.com/,GPL-3.0,Medical Suite,unknown,2019-11-11,,No public explanation,Configurable open-source medical suite. SourceForge release 2019; freemedforms.com website also inactive.
medintux,https://sourceforge.net/projects/medintux/,,EU-PL,Medical Practice Management (France),unknown,2015-08-07,,No public explanation,French medical cabinet management software integrating Sesam Vitale and CIM10. No updates since 2015.
Open DICOM Viewer,https://sourceforge.net/projects/dicomviewer/,,Unknown,DICOM Viewer (Java),unknown,2013-11-05,,No public explanation,Java-based DICOM viewer for web and patient CDs. No updates since 2013; Alpha status at abandonment.
Epi Info,https://github.com/Epi-Info/Epi-Info-Community-Edition,https://www.cdc.gov/epiinfo/,Apache-2.0,Public Health / Epidemiology Surveillance,24,2025-04-09,2025-09-30,CDC official announcement,CDC-created outbreak investigation and survey tool used worldwide. CDC officially ended support September 30 2025. Community Edition (C#) exists with 24 stars; Python package updated July 2025 but no evidence of meaningful community continuation.
oref0,https://github.com/openaps/oref0,https://openaps.org/,MIT,AID Algorithm,475,2022-06-19,2026-05-14,Superseded by app-layer implementations,Reference oref0/oref1 algorithm for OpenAPS. Last release v0.7.1 June 2022. Algorithm logic is now embedded directly in AndroidAPS and Trio rather than used as a standalone tool by end users. Not formally archived but effectively superseded.
HistoQC,https://github.com/choosehappy/HistoQC,https://histoqc.readthedocs.io/,BSD-3-Clause-Clear,Digital Pathology QC,325,2021-05-28,2026-05-15,No public explanation,Quality control pipeline for digital pathology WSIs. Last release v2.1 May 2021 — no significant updates in 4 years. 61 open issues unaddressed. Despite 325 stars effectively unmaintained.
Cytomine Community Edition,https://github.com/cytomine/Cytomine-community-edition,https://cytomine.com/,Apache-2.0,Digital Pathology Platform,22,2025-04-23,2025-11-13,Superseded by new repository,Docker Compose-based installation for Cytomine. Explicitly archived November 2025 and marked no longer maintained — users directed to the newer cytomine/cytomine repository. New repo at github.com/cytomine/cytomine warrants separate evaluation.
Orbit Image Analysis,https://github.com/mstritt/orbit-image-analysis,https://www.orbit.bio/,GPL-3.0,Digital Pathology / WSI Analysis,59,2020-06-09,2026-05-15,No public explanation,WSI quantification tool with machine learning and Spark-based distributed processing. Last release v3.64 June 2020 — over 5 years without a release. 59 stars. Effectively unmaintained.
